Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAU,Almaden Minerals Ltd. Common Shares,$0.2951,-0.0026,-0.873%,40494038.00,Canada,2015,312227,,
ACU,Acme United Corporation. Common Stock,$32.7599,0.6399,1.992%,116614990.00,United States,1988,5473,Consumer Durables,Home Furnishings
ACY,AeroCentury Corp. Common Stock,$9.33,0.21,2.303%,206044233.00,United States,,139376,Technology,Diversified Commercial Services
ADRA,Adara Acquisition Corp. Class A Common Stock,$9.78,0.00,0.00%,140587500.00,United States,2021,69,,
AE,Adams Resources & Energy Inc. Common Stock,$29.31,-0.2463,-0.833%,127645079.00,United States,,6727,Energy,Oilfield Services/Equipment
AEF,Aberdeen Emerging Markets Equity Income Fund Inc. Common Stock,$8.12,-0.06,-0.733%,412104437.00,United States,,66534,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.9369,-0.0434,-4.427%,35545214.00,,2018,190588,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.91,-0.0239,-2.559%,36117911.00,United States,,276988,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$16.53,-1.115,-6.319%,49964735.00,United States,2014,7150,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$0.8894,-0.0106,-1.178%,28574649.00,United States,,130164,Capital Goods,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.8943,-0.0007,-0.078%,20783833.00,China,,27242,Miscellaneous,Service to the Health Industry
AMPE,Ampio Pharmaceuticals Inc.,$0.48,-0.02,-4.00%,109022249.00,United States,,1438269,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.3347,-0.0453,-1.903%,13700020.00,United States,,13190,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$6.07,0.13,2.189%,80320613.00,Canada,,411580,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$5.8276,0.1776,3.143%,157848116.00,United States,,71316,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.782,-0.0242,-3.002%,79954191.00,Canada,,410792,,
ASXC,Asensus Surgical Inc. Common Stock,$0.9304,-0.0196,-2.063%,218830080.00,United States,,2258498,Health Care,Medical/Dental Instruments
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$5.70,-0.16,-2.73%,125575777.00,United States,,91451,Health Care,Biotechnology: Pharmaceutical Preparations
AUMN,Golden Minerals Company Common Stock,$0.39,0.022,5.978%,63493799.00,United States,,1118693,Basic Industries,Metal Mining
AWX,Avalon Holdings Corporation Common Stock,$3.66,-0.08,-2.139%,14271917.00,United States,,70458,Public Utilities,Environmental Services
